SITE,LAT,LONG
Batalimo,3.675942,18.455022
Bissiang,2.997909,10.021249
Bokele,-0.099389,18.592120
Bokuma,-0.114356,18.697792
Boso-Njafo,1.130547,19.209599
Bwambé,2.893551,9.903519
Dibamba,3.995833,9.8215
Dimba,-5.283333,14.866667
Epona,-0.090278,11.140278
Gombe-Point,-4.300597,15.280791
Ikengue,-1.500000,9.498611
Imbonga,-0.821913,19.788493
Issemeyo,0.303883,11.398403
Kay Ladio,-5.128462,14.0075
Lope,-0.208300,11.594400
Malongo,2.734167,9.866944
Maluba,2.806193,18.523706
Mitula,0.291662,17.046761
Moanda,-1.557111,13.228192
Mobaka,-0.366609,17.134569
Munda,1.162608,17.356948
Ndindan,3.914100,11.504000
Nditam,5.336083,11.330139
Ngovo,-5.308333,14.923611
Nkang,4.266667,11.316667
Obobogo,3.816667,11.504167
Ofoubou,-1.405200,10.071300
Okala,0.490556,9.4125
Oveng,0.478611,9.516667
Pikunda,0.549344,16.635736
Rivière Denis,0.322222,9.347778
Sakuzi,-5.167222,14.0075
Shum Laka,5.858611,10.077778
Tchissanga,-4.538866,11.798009
Zili,4.488373,11.984775
